"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View","org.eclipse.wst.jsdt.ui.SourceView"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.organize.imports"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Editing","Select Next Element","Alt+Shift+Right","Editing Xtext Source","org.eclipse.xtext.ui.editor.select.next"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.add.javadoc.comment"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows","org.eclipse.m2e.profiles.ui.commands.selectMavenProfileCommand"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Run/Debug","New Rendering","Ctrl+N","In Memory View","org.eclipse.debug.ui.commands.newRendering"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Edit","Find Next","Ctrl+K","Editing Text","org.eclipse.ui.edit.findNext"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context","org.eclipse.ui.edit.text.scroll.lineUp"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context","org.eclipse.ui.edit.findNext"
"Run/Debug","Execute","Ctrl+U","In Windows","org.eclipse.jdt.debug.ui.commands.Execute"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToPreviousUnread"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source","org.eclipse.xtext.ui.ToggleCommentAction"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows","org.eclipse.pde.ui.openPluginArtifact"
"Emmet","Split/Join Tag","Ctrl+U","Editing Text","io.emmet.eclipse.commands.split_join_tag"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View","org.eclipse.wst.jsdt.ui.JavadocView"
"Text Editing","Line Start","Home","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.lineStart"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus","org.eclipse.tm.terminal.copy"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source","org.eclipse.xtend.ide.insertRightGuillemet"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View","org.eclipse.debug.ui.commands.nextMemoryBlock"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"Uncategorized","Copy Commit Id","Ctrl+C","In Git Reflog View","org.eclipse.egit.ui.internal.reflog.CopyCommand"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.wordNext"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Navigate","Open Type in Hierarchy","F4","Editing Xtext Source","org.eclipse.xtext.xbase.ui.hierarchy.OpenTypeHierarchy"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source","org.eclipse.jdt.ui.correction.renameInFile.assist"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.select.last"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToNextUnread"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows","org.eclipse.jdt.ui.edit.text.java.open.external.javadoc"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.add.block.comment"
"Navigate","Open Declaration","F3","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View","org.eclipse.mylyn.tasks.ui.command.openSelectedTask"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","Editing Xtend Source","org.eclipse.xtend.ide.launching.junitShortcut.run"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.lineStart"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Text Editing","Delete Line","Ctrl+D","Editing Xtext Source","org.eclipse.ui.edit.text.delete.line"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source","org.eclipse.jdt.ui.correction.assignToLocal.assist"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows","org.eclipse.eclemma.ui.junitShortcut.coverage"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.format"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows","org.eclipse.eclemma.ui.junitPluginShortcut.coverage"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Source","Open Declaration","F3","Editing Ant Buildfiles","org.eclipse.ant.ui.open.declaration.command"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.declarations.in.workspace"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.run"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Enhanced Class Decompiler","Decompile","Ctrl+Alt+,","In Windows","org.sf.feeling.decompiler.decompile"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.debug"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.modify.method.parameters"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
